# Bopomofo
1235-25-5	310F-3128-311B-02CB
1235-25-1	310F-3128-311B-02D9
1235-2356-2	310F-3128-311E-02CA
1235-2356-5	310F-3128-311E-02CB
1235-1246-3	310F-3128-311F-0020
1235-1246-4	310F-3128-311F-02C7
1235-1246-2	310F-3128-311F-02CA
1235-1246-5	310F-3128-311F-02CB
1235-12456-3	310F-3128-3122-0020
1235-12456-4	310F-3128-3122-02C7
1235-12456-2	310F-3128-3122-02CA
1235-12456-5	310F-3128-3122-02CB
1235-123456-3	310F-3128-3123-0020
1235-123456-4	310F-3128-3123-02C7
1235-123456-2	310F-3128-3123-02CA
1235-123456-5	310F-3128-3123-02CB
1235-456-3	310F-3128-3124-0020
1235-456-4	310F-3128-3124-02C7
1235-456-2	310F-3128-3124-02CA
1235-456-5	310F-3128-3124-02CB
1235-12346-3	310F-3128-3125-0020
1235-12346-4	310F-3128-3125-02C7
1235-12346-2	310F-3128-3125-02CA
1235-12346-5	310F-3128-3125-02CB
13-16-3	3110-3127-0020
13-16-4	3110-3127-02C7
13-16-2	3110-3127-02CA
13-16-5	3110-3127-02CB
13-23456-3	3110-3127-311A-0020
13-23456-4	3110-3127-311A-02C7
13-23456-2	3110-3127-311A-02CA
13-23456-5	3110-3127-311A-02CB
13-346-3	3110-3127-311D-0020
13-346-4	3110-3127-311D-02C7
13-346-2	3110-3127-311D-02CA
13-346-5	3110-3127-311D-02CB
13-346-1	3110-3127-311D-02D9
13-246-3	3110-3127-3120-0020
13-246-4	3110-3127-3120-02C7
13-246-2	3110-3127-3120-02CA
13-246-5	3110-3127-3120-02CB
13-234-3	3110-3127-3121-0020
13-234-4	3110-3127-3121-02C7
13-234-5	3110-3127-3121-02CB
13-2345-3	3110-3127-3122-0020
13-2345-4	3110-3127-3122-02C7
13-2345-5	3110-3127-3122-02CB
13-1456-3	3110-3127-3123-0020
13-1456-4	3110-3127-3123-02C7
13-1456-5	3110-3127-3123-02CB
13-46-3	3110-3127-3124-0020
13-46-4	3110-3127-3124-02C7
13-46-5	3110-3127-3124-02CB
13-13456-3	3110-3127-3125-0020
13-13456-4	3110-3127-3125-02C7
13-13456-5	3110-3127-3125-02CB
13-1256-3	3110-3129-0020
13-1256-4	3110-3129-02C7
13-1256-2	3110-3129-02CA
13-1256-5	3110-3129-02CB
13-236-3	3110-3129-311D-0020
13-236-4	3110-3129-311D-02C7
13-236-2	3110-3129-311D-02CA
13-236-5	3110-3129-311D-02CB
13-45-3	3110-3129-3122-0020
13-45-4	3110-3129-3122-02C7
13-45-5	3110-3129-3122-02CB
13-256-3	3110-3129-3123-0020
13-256-4	3110-3129-3123-02C7
13-256-5	3110-3129-3123-02CB
13-235-3	3110-3129-3125-0020
13-235-4	3110-3129-3125-02C7
13-235-5	3110-3129-3125-02CB
245-16-3	3111-3127-0020
245-16-4	3111-3127-02C7
245-16-2	3111-3127-02CA
245-16-5	3111-3127-02CB
245-23456-3	3111-3127-311A-0020
245-23456-4	3111-3127-311A-02C7
245-23456-5	3111-3127-311A-02CB
245-346-3	3111-3127-311D-0020
245-346-4	3111-3127-311D-02C7
245-346-2	3111-3127-311D-02CA
245-346-5	3111-3127-311D-02CB
245-246-3	3111-3127-3120-0020
245-246-4	3111-3127-3120-02C7
245-246-2	3111-3127-3120-02CA
245-246-5	3111-3127-3120-02CB
245-234-3	3111-3127-3121-0020
245-234-4	3111-3127-3121-02C7
245-234-2	3111-3127-3121-02CA
245-2345-3	3111-3127-3122-0020
245-2345-4	3111-3127-3122-02C7
245-2345-2	3111-3127-3122-02CA
245-2345-5	3111-3127-3122-02CB
